Operon,IdGene,Type,COGgene,PosLeft,PosRight,Strand,Function
635,cds1035,CDS,COG4345,960250,960714,-,[S] Uncharacterized protein conserved in archaea 
635,cds1036,CDS,NA,960749,961501,-,NA
636,acnA,CDS,COG1048,961568,964135,+,[C] Aconitase A    
636,cds1038,CDS,COG1530,964119,965393,+,[J] Ribonucleases G and E  
637,cds1039,CDS,NA,965551,966102,+,NA
638,cds1040,CDS,COG2304,966092,967234,-,[R] Uncharacterized protein containing a von Willebrand
638,cds1041,CDS,COG0639,967245,968054,-,[T] Diadenosine tetraphosphatase and related serine/threonine protein
638,cds1042,CDS,COG1716,968051,968677,-,[T] FOG: FHA domain   
639,cds1043,CDS,COG2304,968732,969802,+,[R] Uncharacterized protein containing a von Willebrand
639,cds1044,CDS,COG2419,969799,970722,+,[S] Uncharacterized conserved protein   
640,cds1045,CDS,ROG8195,970752,971069,-,NA
641,cds1046,CDS,COG2057,971108,971845,+,"[I] Acyl CoA:acetate/3-ketoacid CoA transferase, beta subunit"
642,cds1047,CDS,COG1788,971820,972626,-,"[I] Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit"
643,cds1048,CDS,COG1846,972708,973169,+,[K] Transcriptional regulators    
644,cds1049,CDS,COG4591,973170,974366,-,"[M] ABC-type transport system, involved in lipoprotein"
644,cds1050,CDS,COG1361,974363,976870,-,[M] S-layer domain    
644,cds1051,CDS,COG1136,976867,977544,-,"[V] ABC-type antimicrobial peptide transport system, ATPase"
645,cds1052,CDS,COG0114,977616,978953,+,[C] Fumarase     
646,cds1053,CDS,ROG8043,979000,979557,-,NA
646,cds1054,CDS,COG0517,979610,979984,-,[R] FOG: CBS domain   
646,cds1055,CDS,COG2761,979996,980673,-,[Q] Predicted dithiol-disulfide isomerase involved in polyketide
647,cds1056,CDS,COG0531,980936,982855,+,[E] Amino acid transporters   
647,cds1057,CDS,COG0693,982938,983459,+,[R] Putative intracellular protease/amidase   
648,cds1058,CDS,COG2005,983464,983823,-,[R] N-terminal domain of molybdenum-binding protein 
648,cds1059,CDS,COG0026,983820,984917,-,[F] Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)  
648,purE,CDS,COG0041,984889,985365,-,[F] Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase   
649,cds1061,CDS,NA,985400,986314,+,NA
650,cds1062,CDS,COG1339,986315,986593,-,[KH] Transcriptional regulator of a riboflavin/FAD biosynthetic
650,cds1063,CDS,NA,986599,987669,-,NA
651,cds1064,CDS,COG0509,987739,988185,+,[E] Glycine cleavage system H protein (lipoate-binding)
651,cds1065,CDS,COG0095,988187,989287,+,[H] Lipoate-protein ligase A   
652,cds1066,CDS,NA,989411,990052,+,NA
653,cds1067,CDS,ROG7396,990042,990374,-,NA
653,cds1068,CDS,COG1765,990416,990832,-,"[O] Predicted redox protein, regulator of disulfide"
653,cds1069,CDS,ROG5881,990829,991275,-,NA
654,cds1070,CDS,NA,991577,991857,-,NA
655,rna1,tRNA,NA,992178,992251,-,NA
656,cds1071,CDS,COG0004,992353,993879,-,[P] Ammonia permease    
657,rna2,tRNA,NA,994188,994273,+,NA
658,cds1072,CDS,ROG6686,994255,996168,-,NA
659,cds1073,CDS,COG1287,996269,998563,+,"[R] Uncharacterized membrane protein, required for N-linked"
660,cds1074,CDS,COG2260,998553,998723,-,[J] Predicted Zn-ribbon RNA-binding protein  
660,cds1075,CDS,COG1093,998720,999520,-,"[J] Translation initiation factor 2, alpha subunit"
660,cds1076,CDS,COG2051,999523,999720,-,[J] Ribosomal protein S27E   
660,cds1077,CDS,COG1631,999720,1000007,-,[J] Ribosomal protein L44E   
660,cds1078,CDS,ROG6564,1000004,1000459,-,NA
660,cds1079,CDS,COG1467,1000449,1001441,-,"[L] Eukaryotic-type DNA primase, catalytic (small) subunit"
660,cds1080,CDS,NA,1001407,1002144,-,NA
660,cds1081,CDS,ROG6804,1002179,1002946,-,NA
661,cds1082,CDS,COG0462,1003001,1003876,+,[FE] Phosphoribosylpyrophosphate synthetase    
661,cds1083,CDS,COG1041,1003873,1004811,+,[L] Predicted DNA modification methylase  
661,rnz,CDS,COG1234,1004808,1005683,+,[R] Metal-dependent hydrolases of the beta-lactamase superfamily
662,cds1085,CDS,COG1931,1005684,1006121,-,[S] Uncharacterized protein conserved in archaea 
662,cds1086,CDS,COG1936,1006114,1006680,-,[F] Predicted nucleotide kinase (related to CMP
663,cds1087,CDS,COG1514,1006699,1007283,+,[J] 2'-5' RNA ligase   
663,cds1088,CDS,COG1746,1007243,1008481,+,[J] tRNA nucleotidyltransferase (CCA-adding enzyme)  
663,cds1089,CDS,COG2112,1008469,1009068,+,[T] Predicted Ser/Thr protein kinase  
664,cds1090,CDS,ROG6970,1009051,1009236,-,NA
665,rna3,tRNA,NA,1009446,1009542,+,NA
666,cds1091,CDS,ROG8158,1009457,1009741,-,NA
667,cds1092,CDS,NA,1010109,1010657,+,NA
667,cds1093,CDS,ROG1417,1010699,1011784,+,NA
667,cds1094,CDS,COG4555,1011777,1012391,+,"[CP] ABC-type Na+ transport system, ATPase component"
668,cds1095,CDS,COG0675,1012930,1014135,-,[L] Transposase and inactivated derivatives  
669,cds1096,CDS,ROG4075,1014523,1016700,-,NA
669,cds1097,CDS,COG0555,1016724,1017521,-,"[O] ABC-type sulfate transport system, permease component"
669,cds1098,CDS,COG2182,1017496,1018656,-,[G] Maltose-binding periplasmic proteins/domains   
670,cds1099,CDS,COG0300,1018740,1019483,-,[R] Short-chain dehydrogenases of various substrate specificities
670,cds1100,CDS,COG0243,1019517,1021490,-,"[C] Anaerobic dehydrogenases, typically selenocysteine-containing  "
670,cds1101,CDS,COG0084,1021545,1022243,-,[L] Mg-dependent DNase    
670,cds1102,CDS,NA,1022275,1022676,-,NA
671,cds1103,CDS,COG0650,1023430,1024382,+,[C] Formate hydrogenlyase subunit 4  
671,cds1104,CDS,COG4237,1024390,1025032,+,[C] Hydrogenase 4 membrane component (E) 
671,cds1105,CDS,COG0651,1025038,1026360,+,"[CP] Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter,"
671,cds1106,CDS,COG3261,1026357,1027532,+,"[C] Ni,Fe-hydrogenase III large subunit  "
671,cds1107,CDS,COG3260,1027529,1028134,+,"[C] Ni,Fe-hydrogenase III small subunit  "
671,cds1108,CDS,COG0651,1028131,1029876,+,"[CP] Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter,"
671,cds1109,CDS,NA,1029886,1030242,+,NA
672,cds1110,CDS,COG2897,1030246,1031067,-,[P] Rhodanese-related sulfurtransferase    
673,cds1111,CDS,COG3376,1031226,1032320,+,[P] High-affinity nickel permease   
674,rna4,rRNA,NA,1032799,1035770,-,NA
674,rna5,rRNA,NA,1035970,1037469,-,NA
675,cds1112,CDS,NA,1038175,1038366,+,NA
676,cds1113,CDS,COG0028,1039092,1040741,+,"[EH] Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate"
676,cds1114,CDS,COG1252,1040742,1041737,+,"[C] NADH dehydrogenase, FAD-containing subunit  "
677,cds1115,CDS,COG3842,1042163,1043137,-,"[E] ABC-type spermidine/putrescine transport systems, ATPase components"
677,cds1116,CDS,COG3833,1043134,1043937,-,"[G] ABC-type maltose transport systems, permease component"
677,cds1117,CDS,COG1175,1043939,1044757,-,"[G] ABC-type sugar transport systems, permease components"
677,cds1118,CDS,COG1653,1044763,1046196,-,"[G] ABC-type sugar transport system, periplasmic component"
678,cds1119,CDS,COG0379,1046440,1047378,-,[H] Quinolinate synthase    
679,cds1120,CDS,COG0029,1047466,1048878,+,[H] Aspartate oxidase    
679,nadC,CDS,COG0157,1048875,1049702,+,[H] Nicotinate-nucleotide pyrophosphorylase    
679,cds1122,CDS,COG3439,1049744,1050115,+,[S] Uncharacterized conserved protein   
680,cds1123,CDS,COG1695,1050098,1050445,-,[K] Predicted transcriptional regulators   
680,cds1124,CDS,COG0477,1050478,1051668,-,[GEPR] Permeases of the major facilitator superfamily
680,cds1125,CDS,COG3408,1051707,1053551,-,[G] Glycogen debranching enzyme   
680,cds1126,CDS,COG3387,1053559,1055427,-,[G] Glucoamylase and related glycosyl hydrolases 
680,cds1127,CDS,COG1208,1055442,1056707,-,[MJ] Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation
681,cds1128,CDS,COG1449,1056745,1058088,+,[G] Alpha-amylase/alpha-mannosidase     
681,cds1129,CDS,COG0438,1058075,1059775,+,[M] Glycosyltransferase     
681,cds1130,CDS,ROG7596,1059786,1060472,+,NA
681,cds1131,CDS,COG0665,1060469,1061566,+,[E] Glycine/D-amino acid oxidases (deaminating)  
682,cds1132,CDS,ROG0054,1061649,1062441,+,NA
683,cds1133,CDS,ROG8486,1062648,1063160,+,NA
683,pyk,CDS,COG0469,1063160,1064509,+,[G] Pyruvate kinase    
684,cds1135,CDS,COG2149,1064498,1064833,-,[S] Predicted membrane protein   
685,rpiA,CDS,COG0120,1064969,1065652,+,[G] Ribose 5-phosphate isomerase   
686,rna6,tRNA,NA,1065634,1065732,-,NA
686,lysS,CDS,COG0119,1065781,1067166,-,[E] Isopropylmalate/homocitrate/citramalate synthases    
687,cds1138,CDS,NA,1067230,1067505,-,NA
687,cds1139,CDS,COG0528,1067511,1068191,-,[F] Uridylate kinase    
687,cds1140,CDS,ROG3980,1068224,1068406,-,NA
688,cds1141,CDS,COG1028,1068518,1069315,-,[IQR] Dehydrogenases with different specificities (related to
688,cds1142,CDS,COG2084,1069343,1070212,-,[I] 3-hydroxyisobutyrate dehydrogenase and related beta-hydroxyacid dehydrogenases
688,cds1143,CDS,COG1258,1070236,1071348,-,[J] Predicted pseudouridylate synthase   
688,cds1144,CDS,COG0541,1071317,1072660,-,[U] Signal recognition particle GTPase  
688,cds1145,CDS,COG0231,1072663,1073058,-,[J] Translation elongation factor P (EF-P)/translation initiation
689,cds1146,CDS,COG1697,1073403,1074572,-,"[L] DNA topoisomerase VI, subunit A "
689,cds1147,CDS,COG1389,1074569,1076161,-,"[L] DNA topoisomerase VI, subunit B "
689,cds1148,CDS,COG1899,1076190,1077128,-,[O] Deoxyhypusine synthase    
689,cds1149,CDS,COG1690,1077125,1078573,-,[S] Uncharacterized conserved protein   
690,cds1150,CDS,ROG4986,1078648,1078887,-,NA
691,cds1151,CDS,COG1201,1078962,1081757,+,[R] Lhr-like helicases    
692,cds1152,CDS,COG1581,1081869,1082138,+,[K] Archaeal DNA-binding protein   
693,rgy,CDS,COG1110,1082103,1085603,-,[L] Reverse gyrase    
694,albA,CDS,COG1581,1085723,1086016,+,[K] Archaeal DNA-binding protein   
695,cds1155,CDS,ROG3143,1086098,1086418,+,NA
696,cds1156,CDS,NA,1086393,1086677,-,NA
697,cds1157,CDS,ROG6742,1086769,1087275,+,NA
698,cds1158,CDS,COG1061,1087264,1088946,-,[KL] DNA or RNA helicases of superfamily
698,cds1159,CDS,NA,1088906,1089277,-,NA
699,cds1160,CDS,COG0721,1089388,1089681,+,[J] Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit  
699,cds1161,CDS,COG0154,1089686,1091110,+,[J] Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related
699,cds1162,CDS,COG0731,1091138,1092223,+,[C] Fe-S oxidoreductases    
700,cds1163,CDS,COG1339,1092311,1092883,+,[KH] Transcriptional regulator of a riboflavin/FAD biosynthetic
701,cds1164,CDS,COG0615,1092880,1093560,-,[MI] Cytidylyltransferase     
701,cds1165,CDS,COG1798,1093542,1094315,-,[J] Diphthamide biosynthesis methyltransferase   
702,cds1166,CDS,COG1407,1094358,1095113,+,[R] Predicted ICC-like phosphoesterases   
702,cds1167,CDS,COG2101,1095193,1095759,+,"[K] TATA-box binding protein (TBP), component of"
703,cds1168,CDS,COG2971,1095748,1096593,-,[G] Predicted N-acetylglucosamine kinase   
704,cds1169,CDS,ROG7699,1096639,1096848,+,NA
705,cds1170,CDS,COG2237,1096832,1097899,-,[S] Predicted membrane protein   
705,cds1171,CDS,COG1340,1097871,1098767,-,[S] Uncharacterized archaeal coiled-coil protein  
706,cds1172,CDS,COG3277,1098922,1099194,+,[J] RNA-binding protein involved in rRNA processing
706,cds1173,CDS,COG1405,1099191,1100072,+,"[K] Transcription initiation factor TFIIIB, Brf1 subunit/Transcription"
707,cds1174,CDS,ROG5043,1100254,1100631,+,NA
708,cds1175,CDS,COG1867,1100623,1101759,-,"[J] N2,N2-dimethylguanosine tRNA methyltransferase   "
708,cds1176,CDS,COG1395,1101725,1102657,-,[K] Predicted transcriptional regulator   
708,cds1177,CDS,ROG4990,1102661,1103077,-,NA
708,cds1178,CDS,COG1889,1103082,1103780,-,[J] Fibrillarin-like rRNA methylase   
708,cds1179,CDS,COG1498,1103786,1105027,-,"[J] Protein implicated in ribosomal biogenesis, Nop56p"
709,cds1180,CDS,COG4919,1105093,1105251,+,[J] Ribosomal protein S30   
709,gatD,CDS,COG0252,1105285,1106622,+,[EJ] L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D 
709,gatE,CDS,COG2511,1106615,1108516,+,[J] Archaeal Glu-tRNAGln amidotransferase subunit E (contains
710,cds1183,CDS,ROG7195,1108589,1109629,+,NA
711,cds1184,CDS,COG2522,1109622,1109990,-,[R] Predicted transcriptional regulator   
711,cds1185,CDS,COG0209,1110044,1112560,-,"[F] Ribonucleotide reductase, alpha subunit  "
712,rna7,tRNA,NA,1112737,1112809,-,NA
713,rna8,tRNA,NA,1112973,1113062,+,NA
714,cds1186,CDS,ROG7554,1113014,1113187,-,NA
715,cds1187,CDS,COG0719,1113270,1114439,-,[O] ABC-type transport system involved in Fe-S
715,sufB,CDS,COG0719,1114426,1115865,-,[O] ABC-type transport system involved in Fe-S
715,sufC,CDS,COG0396,1115931,1116677,-,[O] ABC-type transport system involved in Fe-S
715,cds1190,CDS,ROG0259,1116694,1117695,-,NA
716,cds1191,CDS,ROG6893,1117768,1118139,-,NA
716,cds1192,CDS,COG1938,1118146,1118901,-,[R] Archaeal enzymes of ATP-grasp superfamily 
716,gcvH,CDS,COG0509,1118894,1119304,-,[E] Glycine cleavage system H protein (lipoate-binding)
716,gcvT,CDS,COG0404,1119316,1120356,-,[E] Glycine cleavage system T protein (aminomethyltransferase)
717,cds1195,CDS,COG0403,1120391,1121758,+,"[E] Glycine cleavage system protein P (pyridoxal-binding),"
717,cds1196,CDS,COG1003,1121739,1123268,+,"[E] Glycine cleavage system protein P (pyridoxal-binding),"
718,cds1197,CDS,ROG1409,1123261,1123686,-,NA
718,cds1198,CDS,ROG2882,1123667,1123996,-,NA
718,cds1199,CDS,ROG4135,1124002,1124310,-,NA
719,cds1200,CDS,COG0148,1124340,1125599,+,[G] Enolase     
720,cds1201,CDS,NA,1125596,1125847,-,NA
721,cds1202,CDS,ROG2495,1125944,1126741,+,NA
721,cds1203,CDS,COG5491,1126760,1127539,+,[N] Conserved protein implicated in secretion 
721,cds1204,CDS,COG0464,1127555,1128673,+,[O] ATPases of the AAA+ class 
722,cds1205,CDS,COG0550,1128699,1130735,-,[L] Topoisomerase IA    
722,cds1206,CDS,COG1758,1130741,1131028,-,"[K] DNA-directed RNA polymerase, subunit K/omega "
722,cds1207,CDS,COG0075,1131019,1132140,-,[E] Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase  
722,cds1208,CDS,COG0111,1132137,1133108,-,[HE] Phosphoglycerate dehydrogenase and related dehydrogenases 
723,cds1209,CDS,COG1059,1133310,1133933,-,[L] Thermostable 8-oxoguanine DNA glycosylase  
723,cds1210,CDS,NA,1133875,1134396,-,NA
724,cds1211,CDS,ROG3452,1134506,1134724,+,NA
724,cds1212,CDS,NA,1134721,1135035,+,NA
725,cds1213,CDS,NA,1134996,1135310,-,NA
725,cds1214,CDS,ROG2803,1135315,1135704,-,NA
725,cds1215,CDS,COG0644,1135664,1136659,-,[C] Dehydrogenases (flavoproteins)    
726,cds1216,CDS,COG0525,1136647,1139175,+,[J] Valyl-tRNA synthetase    
727,cds1217,CDS,COG0436,1139189,1140394,-,[E] Aspartate/tyrosine/aromatic aminotransferase    
727,cds1218,CDS,COG0134,1140413,1141159,-,[E] Indole-3-glycerol phosphate synthase   
727,cds1219,CDS,COG0512,1141163,1141750,-,[EH] Anthranilate/para-aminobenzoate synthases component II  
727,cds1220,CDS,COG0147,1141751,1143016,-,[EH] Anthranilate/para-aminobenzoate synthases component I  
727,cds1221,CDS,COG0135,1142994,1143608,-,[E] Phosphoribosylanthranilate isomerase    
727,trpD,CDS,COG0547,1143601,1144638,-,[E] Anthranilate phosphoribosyltransferase    
727,trpA,CDS,COG0159,1144625,1145356,-,[E] Tryptophan synthase alpha chain  
727,cds1224,CDS,COG1350,1145349,1146626,-,[R] Predicted alternative tryptophan synthase beta-subunit (paralog
727,cds1225,CDS,COG1254,1146678,1146950,-,[C] Acylphosphatases     
728,cds1226,CDS,COG1260,1147044,1148123,+,[I] Myo-inositol-1-phosphate synthase    
728,cds1227,CDS,NA,1148113,1148364,+,NA
729,cds1228,CDS,COG0574,1148376,1150778,-,[G] Phosphoenolpyruvate synthase/pyruvate phosphate dikinase  
730,cds1229,CDS,COG5491,1150853,1151518,-,[N] Conserved protein implicated in secretion 
731,cds1230,CDS,NA,1151600,1151881,+,NA
732,cds1231,CDS,COG0043,1151856,1153301,-,[H] 3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases 
733,cds1232,CDS,COG0498,1153395,1154585,+,[E] Threonine synthase    
733,cds1233,CDS,COG0527,1154569,1155909,+,[E] Aspartokinases     
733,asd,CDS,COG0136,1155902,1156954,+,[E] Aspartate-semialdehyde dehydrogenase    
733,cds1235,CDS,COG0613,1156954,1157613,+,[R] Predicted metal-dependent phosphoesterases (PHP family) 
733,cds1236,CDS,COG1602,1157576,1158802,+,[S] Uncharacterized conserved protein   
734,argF,CDS,COG0078,1158795,1159718,-,[E] Ornithine carbamoyltransferase    
735,cds1238,CDS,ROG7532,1159750,1160370,+,NA
735,cds1239,CDS,COG3199,1160364,1161434,+,[S] Uncharacterized conserved protein   
736,cds1240,CDS,ROG3301,1161519,1162259,+,NA
737,cds1241,CDS,ROG2537,1162449,1162775,+,NA
737,cds1242,CDS,ROG2875,1162813,1163640,+,NA
738,cds1243,CDS,ROG6650,1163579,1164316,-,NA
739,cds1244,CDS,COG0459,1164429,1166111,+,[O] Chaperonin GroEL (HSP60 family)  
740,cds1245,CDS,ROG2567,1166100,1166471,-,NA
741,cds1246,CDS,ROG5342,1166727,1167032,+,NA
742,cds1247,CDS,ROG3236,1167018,1167410,-,NA
742,cds1248,CDS,NA,1167397,1167600,-,NA
743,cds1249,CDS,COG0018,1167655,1169532,+,[J] Arginyl-tRNA synthetase    
744,rna9,tRNA,NA,1169723,1169797,+,NA
745,rna10,tRNA,NA,1170107,1170191,-,NA
745,cds1250,CDS,COG1698,1170225,1170494,-,[S] Uncharacterized protein conserved in archaea 
746,cds1251,CDS,COG1645,1170545,1170901,+,[R] Uncharacterized Zn-finger containing protein  
747,tmk_2,CDS,COG0125,1170879,1171448,-,[F] Thymidylate kinase    
747,cds1253,CDS,COG1341,1171436,1172518,-,[R] Predicted GTPase or GTP-binding protein 
747,cds1254,CDS,ROG6239,1172515,1173048,-,NA
748,cds1255,CDS,COG0468,1173081,1173608,+,[L] RecA/RadA recombinase    
748,cds1256,CDS,COG0575,1173599,1174099,+,[I] CDP-diglyceride synthetase    
748,cds1257,CDS,ROG7466,1174109,1174438,+,NA
748,cds1258,CDS,ROG4740,1174450,1174668,+,NA
749,cds1259,CDS,COG1241,1174665,1176725,-,"[L] Predicted ATPase involved in replication control,"
749,cds1260,CDS,ROG2756,1176712,1177251,-,NA
750,cds1261,CDS,COG1818,1177287,1177802,+,"[R] Predicted RNA-binding protein, contains THUMP domain"
750,cds1262,CDS,COG1474,1177838,1179079,+,"[LO] Cdc6-related protein, AAA superfamily ATPase "
750,cds1263,CDS,ROG6408,1179097,1179333,+,NA
750,moaC,CDS,COG0315,1179317,1179766,+,[H] Molybdenum cofactor biosynthesis enzyme  
751,cds1265,CDS,COG0470,1179763,1180980,-,[L] ATPase involved in DNA replication 
751,rfc,CDS,COG0470,1180977,1181969,-,[L] ATPase involved in DNA replication 
751,cds1267,CDS,COG1881,1181991,1182440,-,[R] Phospholipid-binding protein    
751,psmB,CDS,COG0638,1182521,1183156,-,"[O] 20S proteasome, alpha and beta subunits"
752,cds1269,CDS,COG0154,1183212,1184405,-,[J] Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related
753,cds1270,CDS,COG0604,1184612,1185613,+,[CR] NADPH:quinone reductase and related Zn-dependent oxidoreductases
753,cds1271,CDS,ROG5779,1185638,1186252,+,NA
753,cds1272,CDS,ROG5978,1186263,1186751,+,NA
753,rna11,tRNA,NA,1186784,1186876,+,NA
754,cds1273,CDS,NA,1187381,1188916,-,NA
754,cds1274,CDS,NA,1188928,1189236,-,NA
754,cds1275,CDS,NA,1189229,1189615,-,NA
754,cas4_2,CDS,COG1468,1189593,1190246,-,[L] RecB family exonuclease   
754,cds1277,CDS,COG0864,1190300,1190464,-,[K] Predicted transcriptional regulators containing the CopG/Arc/MetJ
755,cds1278,CDS,ROG2254,1190743,1191108,-,NA
756,cds1279,CDS,COG4342,1191759,1193039,-,[S] Uncharacterized protein conserved in archaea 
757,rna12,tRNA,NA,1193150,1193224,-,NA
